id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
1254;2016;Presságios de um Crime;Ficção;Estados Unidos;Estrangeiros;25/02/2016;Diamond Films do Brasil;66251;
1255;2013;Cirque Du Soleil - Outros Mundos;Ficção;Estados Unidos;Estrangeiros;22/02/2013;Paramount;66126;
1256;2012;Marcados para Morrer;Ficção;Estados Unidos;Estrangeiros;09/11/2012;Califórnia;65626;
1257;2012;Solteiros com Filhos;Ficção;Estados Unidos;Estrangeiros;01/06/2012;Paris;65373;
1258;2010;Entre irmãos;Ficção;Estados Unidos;Estrangeiros;05/03/2010;Imagem;65225;
1259;2017;O Dia do Atentado;Ficção;Estados Unidos;Estrangeiros;11/05/2017;Paris;64504;
1260;2009;Um Ato de Liberdade;Ficção;Estados Unidos;Estrangeiros;08/05/2009;Flashstar Filmes;64481;
1261;2017;Fome de Poder;Ficção;Estados Unidos;Estrangeiros;09/03/2017;Diamond Films do Brasil;64383;
1262;2013;Diana;Ficção;Inglaterra;Estrangeiros;18/10/2013;Imagem;64359;
1263;2013;Frances Ha;Ficção;Brasil, Estados Unidos;Estrangeiros;23/08/2013;Vitrine Filmes;64347;
1264;2010;Coração louco;Ficção;Estados Unidos;Estrangeiros;05/03/2010;Fox;64065;
1265;2009;Aventuras do Surf II;Documentário;Brasil;Brasileiros;27/03/2009;Universal;64017;
1266;2011;Homens e deuses;Ficção;França;Estrangeiros;15/04/2011;Imovision;63899;
1267;2010;O solteirão;Ficção;Estados Unidos;Estrangeiros;22/10/2010;Califórnia;63566;
1268;2009;Paris;Ficção;França;Estrangeiros;03/07/2009;Pandora;63242;
1269;2017;Roda gigante;Ficção;Estados Unidos;Estrangeiros;28/12/2017;Imagem;63168;
1270;2014;Um Plano Brilhante;Ficção;França;Estrangeiros;19/06/2014;Playarte;63076;
1271;2011;O último dançarino de Mao;Ficção;Austrália;Estrangeiros;09/12/2011;Califórnia;63033;
1272;2012;Procura-se um Amigo para o Fim do Mundo;Ficção;Estados Unidos;Estrangeiros;31/08/2012;Paris;62839;
1273;2016;Kóblic;Ficção;Argentina;Estrangeiros;13/10/2016;Paris;62635;
1274;2016;Herança de sangue;Ficção;França;Estrangeiros;08/09/2016;Califórnia;62435;
1275;2010;A estrada;Ficção;Estados Unidos;Estrangeiros;23/04/2010;Paris;62058;
1276;2011;Um lugar qualquer;Ficção;Estados Unidos;Estrangeiros;28/01/2011;Universal;61673;
1277;2015;Os 33;Ficção;Chile, Estados Unidos;Estrangeiros;29/10/2015;Fox;61569;
1278;2014;Os Muppets 2 – Procurados e Amados;Ficção;Estados Unidos;Estrangeiros;26/06/2014;Disney;61425;
1279;2009;Fundo do Mar 3D;Documentário;Canadá, Estados Unidos;Estrangeiros;16/01/2009;Espaço Itaú de Cinema;61294;
1280;2014;O Menino e o Mundo;Animação;Brasil;Brasileiros;17/01/2014;Espaço Filmes;61152;
1281;2017;O sequestro;Ficção;Estados Unidos;Estrangeiros;21/09/2017;H2O Films;61105;
1282;2014;Um Amor de Vizinha;Ficção;Estados Unidos;Estrangeiros;10/10/2014;Playarte;60851;
1283;2009;Desejo e Perigo;Ficção;China;Estrangeiros;15/05/2009;Europa;60850;
1284;2016;A Juventude;Ficção;França, Itália, Reino Unido, Suíça;Estrangeiros;31/03/2016;Fênix Filmes;60792;
1285;2010;Educação;Ficção;Estados Unidos;Estrangeiros;19/02/2010;Sony;60451;
1286;2013;Sem proteção;Ficção;Estados Unidos;Estrangeiros;24/05/2013;Imagem;60301;
1287;2012;Curvas da Vida;Ficção;Estados Unidos;Estrangeiros;23/11/2012;Warner;60189;
1288;2011;Deixe-me entrar;Ficção;Estados Unidos, Reino Unido;Estrangeiros;28/01/2011;Paramount;60055;
1289;2014;Sétimo;Ficção;Argentina, Espanha;Estrangeiros;27/11/2014;Fox;59774;
1290;2009;Simplesmente Feliz;Ficção;Inglaterra;Estrangeiros;27/03/2009;Imagem;59647;
1291;2013;Paris-Manhattan;Ficção;França;Estrangeiros;04/01/2013;Vinny filmes;59498;
1292;2013;A caça;Ficção;Dinamarca, Suécia;Estrangeiros;22/03/2013;Califórnia;59358;
1293;2010;Direito de Amar;Ficção;Estados Unidos;Estrangeiros;05/03/2010;Paris;59187;
1294;2012;31 minutos – O filme;Ficção;Brasil;Brasileiros;03/08/2012;H2O Films/RioFilme;59052;
1295;2013;Elena;Documentário;Brasil;Brasileiros;10/05/2013;Espaço Filmes;58614;
1296;2017;Entre irmãs;Ficção;Brasil;Brasileiros;12/10/2017;H2O Films/Sony;58453;
1297;2015;Metanóia;Ficção;Brasil;Brasileiros;14/05/2015;Europa;58176;
1298;2017;Os guardiões;Ficção;Rússia;Estrangeiros;31/08/2017;Paris;58127;
1299;2011;O retrato de Dorian Gray;Ficção;Reino Unido;Estrangeiros;25/03/2011;Europa;58046;
1300;2014;Winter, O Golfinho 2;Ficção;Estados Unidos;Estrangeiros;11/09/2014;Warner;58030;
1301;2016;Mente Criminosa;Ficção;Estados Unidos, Reino Unido;Estrangeiros;14/04/2016;Califórnia;57543;
1302;2010;Os outros caras;Ficção;Estados Unidos;Estrangeiros;26/11/2010;Sony;57473;
1303;2014;A 100 Passos de um Sonho;Ficção;Estados Unidos;Estrangeiros;28/08/2014;Disney;57266;
1304;2009;Donkey Xote;Animação;Espanha;Estrangeiros;29/05/2009;Imagem;57243;
1305;2009;Há Tanto Tempo que te Amo;Ficção;França;Estrangeiros;26/06/2009;Moviemobz;56750;
1306;2013;Dentro da Casa;Ficção;França;Estrangeiros;29/03/2013;Califórnia;56397;
1307;2011;Românticos Anônimos;Ficção;França;Estrangeiros;23/12/2011;Imovision;56373;
1308;2011;Incêndios;Ficção;Canadá;Estrangeiros;25/02/2011;Imovision;56180;
1309;2010;Coco Chanel & Igor Stravinsky;Ficção;França;Estrangeiros;20/08/2010;Imovision;55994;
1310;2014;O Inventor de Jogos;Ficção;Argentina;Estrangeiros;09/10/2014;Disney;55969;
1311;2012;Flores do Oriente;Ficção;China;Estrangeiros;25/05/2012;Playarte;55823;
1312;2016;Elle;Ficção;França, Alemanha;Estrangeiros;17/11/2016;Sony;55598;
1313;2016;Cães de Guerra;Ficção;Estados Unidos;Estrangeiros;08/09/2016;Warner;55478;
1314;2015;Dois Dias, Uma Noite;Ficção;Itália, França, Bélgica;Estrangeiros;05/02/2015;Imovision;55475;
1315;2013;Amor Pleno;Ficção;Estados Unidos;Estrangeiros;26/07/2013;Paris;55359;
1316;2014;As Férias do Pequeno Nicolau;Ficção;França;Estrangeiros;28/08/2014;Imovision;55314;
